CityObject,Zone
<http://localhost/berlin/cityobject/UUID_ba4b7491-79d0-4b5e-85f6-2be015a9ae15/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_31870388-213a-4a2f-b67f-11d14e3ed24f/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_4c17bcb6-e97e-420b-b570-71141aab0546/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_2e88a5c3-4a0d-4bd6-abff-c17737479b73/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_16a308b0-82a6-479d-8749-9ff31e8bf36a/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_c77ccd51-6ad8-4fc5-be12-9ec2fee7e4d3/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_4c4432c0-de0e-4502-bc93-de354c901a9b/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_318e36d1-ba18-4adc-b538-6f1869a85123/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_884a854a-ccd7-46f0-b185-1caa47cbd716/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_7b4e88fd-4b6d-4f8a-920d-ae5f52067eae/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_0efef601-2cf5-4f76-a588-a8a17cc933ca/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_3b9cdf86-add4-43e7-9c19-b595c019ed12/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_356b293d-c1d8-4709-84d2-31b340a52f1e/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_65295937-ab63-4cb1-a648-56602c318b5c/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_5e770a5d-a0a7-4c16-9c94-3490847a6f27/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_fbf326c5-fba8-459e-b220-d77c89eceba9/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_4fd83b17-ffed-403f-ae96-aa16c58ac943/>,WHITE
<http://localhost/berlin/cityobject/UUID_d44e2707-5d84-4bcf-a527-f1fbb501900b/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_ff9b0b45-4387-447e-a0d8-b3b3f11e4798/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_489eb935-99fe-4766-be8f-603a044be281/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_b3460ff0-7ae1-43a2-ac68-926e1ac8c651/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_83b3e148-38d1-46d2-a12d-b51b6f261f10/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_07df4849-f558-427c-824c-72c942a96cd2/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_c195689a-7e57-4a88-b33f-36724635b166/>,WHITE
<http://localhost/berlin/cityobject/UUID_35b36f4d-53fa-4e14-80fc-aa660e6521a4/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_d4ee59b6-4ed8-4a07-9db5-f6f8e6325da1/>,WHITE
<http://localhost/berlin/cityobject/UUID_30734336-d360-4da4-bf4c-36ecdd05e694/>,COMMERCIAL
